nodes,densidade,DLTS Clique (tempo),algoBitCliqueMaxPartite (tempo),DLTS Clique (nodes),algoBitCliqueMaxPartite (nodes),Dif
20,0.25,13.230972051620483,0.0004146099090576172,28,24,0.0
20,0.25,18.81802463531494,0.0004105567932128906,44,28,0.0
20,0.25,13.599589347839355,0.00043964385986328125,28,27,0.0
20,0.25,17.07668685913086,0.0003566741943359375,40,25,0.0
20,0.25,20.123969078063965,0.0003707408905029297,53,26,0.0
20,0.25,16.736461400985718,0.00038552284240722656,39,25,0.0
20,0.25,14.298357963562012,0.0003807544708251953,30,27,0.0
20,0.25,17.479971408843994,0.00039386749267578125,40,30,0.0
20,0.5,7.44469952583313,0.0007276535034179688,15,34,0.0
20,0.5,8.569057703018188,0.0005536079406738281,17,33,0.0
20,0.5,10.742838144302368,0.0007815361022949219,19,39,0.0
20,0.5,6.061108827590942,0.0006823539733886719,14,32,0.0
20,0.5,12.38810110092163,0.0008249282836914062,25,34,0.0
20,0.5,14.607781648635864,0.0007121562957763672,28,37,0.0
20,0.5,5.338479280471802,0.0006403923034667969,13,37,0.0
20,0.5,12.505499839782715,0.0009243488311767578,23,41,0.0
20,0.5,46.06250739097595,0.0006575584411621094,101,30,0.0
20,0.5,44.246578216552734,0.0005614757537841797,105,30,0.0
20,0.75,16.39614510536194,0.0013234615325927734,30,57,0.0
20,0.75,20.019701957702637,0.001459360122680664,38,54,0.0
20,0.75,4.956116199493408,0.0013687610626220703,8,62,0.1111111111111111
20,0.75,6.4306254386901855,0.0014362335205078125,10,68,0.0
20,0.75,5.303061246871948,0.001482248306274414,10,73,0.2
20,0.75,5.976343631744385,0.0013113021850585938,10,78,0.1
20,0.75,11.92738151550293,0.0011315345764160156,21,65,0.1111111111111111
20,0.75,5.857973098754883,0.0014164447784423828,10,64,0.0
20,0.75,5.835700750350952,0.0011339187622070312,10,68,0.0
20,0.75,7.889477014541626,0.0010006427764892578,15,61,0.0
20,0.9,9.632346391677856,0.0015587806701660156,16,106,0.0
20,0.9,8.12027907371521,0.0012805461883544922,12,93,0.08333333333333333
20,0.9,6.039372444152832,0.0012993812561035156,11,106,0.15384615384615385
20,0.9,11.075670719146729,0.0016303062438964844,17,89,0.09090909090909091
20,0.9,10.9518563747406,0.001491546630859375,16,120,0.0
20,0.9,12.498337268829346,0.0011081695556640625,23,83,0.0
20,0.9,6.064225196838379,0.0011365413665771484,11,81,0.0
20,0.9,7.644270896911621,0.0016312599182128906,11,96,0.08333333333333333
20,0.9,13.511873006820679,0.0014102458953857422,23,77,0.1
20,0.9,12.765271663665771,0.0016887187957763672,21,116,0.07142857142857142
